     78 30013593	chilled	Product maintained at not less than -2.0 °C or more than + 4.0 °C at all times following the post-slaughter chilling process. (GPC attValue)
     78 30002397	tail	Structure composed of bone, meat and skin that is from an appendage at the rear of the animal. Also apply to fish and other shellfish. (GPC attValue)
     76 30013605	breading	Product has a dry bread-based coating applied topically. (GPC attValue)
     76 30013604	batter	Product has a wet flour-based coating applied topically. (GPC attValue)
     76 30003950	glass	 (GPC attValue)
     76 30001673	neck	Structure typically composed of bone, meat and skin that attaches the head to the thorax. Also apply as a target area in human body care. (GPC attValue)
     75 30002249	smoked	Product partially or fully cooked using a smoking process. (GPC attValue)
     69 30015614	skin	 (GPC attValue)
     68 30013626	bone	Rigid, ossified organs from the endoskeleton of vertebrates. (GPC attValue)
     68 30006766	not applicable	Form of product is not revelevant; for products such as mechanically separated meat. (GPC attValue)
     68 30002709	heart	 (GPC attValue)
     67 30013646	natural carcass/part/muscle	Shape of a naturally occurring body part, muscle, bone, or offal. (GPC attValue)
     67 30013644	diced/cube-shaped	A product that has been cut into somewhat uniformly sized small blocks. (GPC attValue)
     66 30013641	mixed parts for grounding/mincing	Two or more product forms are combined to create a single product such as a sausage. (GPC attValue)
     66 30013631	fat	Lipid animal tissue that is solid at room temperature. (GPC attValue)
     66 30013628	forequarter	The anterior portion of a large animal spilt carcass. (GPC attValue)
     66 30000974	foot	Structure composed of bone, meat, nail, and skin that bears the weight of the animal. (GPC attValue)
     65 30015620	kidney	 (GPC attValue)
     65 30013653	strip (meat shape)	A long and thin piece of muscle or bacon. (GPC attValue)
     65 30013629	hindquarter	The posterior portion of a large animal spilt carcass. (GPC attValue)
     65 30005435	blood	 (GPC attValue)
     65 30002238	slab	Whole backrib, sparerib, or smoked belly such as unsliced bacon, shaped as a broad, flat, thick piece. (GPC attValue)
     64 30001452	liver	 (GPC attValue)
     60 30010365	stainless steel	Stainless steel is made of a metal alloy with a chromium content around 10 percent. (GPC attValue)
     59 30011233	electric - cordless	 (GPC attValue)
     59 30005044	wool	 (GPC attValue)
     58 30011232	electric - corded	 (GPC attValue)
     56 30002818	shredded	Pulled product that is further size-reduced. A trade item is referred to as "shredded" if the loose particles are in the form of cylinders, shreds, or strings. (GPC attValue)
     56 30000517	can be refrigerated	 (GPC attValue)
     56 30000090	must be refrigerated	 (GPC attValue)
     55 30005669	fish	 (GPC attValue)
     55 30003945	gel	This term is used to describe gel, which is a colloid in which solids are dispersed in a liquid medium. (GPC attValue)
     54 30017721	forage, pasture and feed grain	 (GPC attValue)
     54 30001694	none	 (GPC attValue)
     53 30000289	battery	 (GPC attValue)
     52 30009416	mains electricity	 (GPC attValue)
     51 30010066	petrol/gasoline	 (GPC attValue)
     51 30004889	kitchen	This term is used to describe products the manufacturer has specifically designed for use in a room often called a kitchen and used to prepared meals or other foodstuffs. (GPC attValue)
     51 30002251	snack	The product is primarily used or marketed as a snack food. (GPC attValue)
     50 30010509	synthetic textile	 (GPC attValue)
     50 30009998	silk	 (GPC attValue)
     49 30007857	aluminium	 (GPC attValue)
     49 30007840	linen	 (GPC attValue)
     49 30002908	spice	 (GPC attValue)
     49 30002541	vegetarian	 (GPC attValue)
     49 30002534	vegan	 (GPC attValue)
     49 30000977	fermented	 (GPC attValue)
     48 30015687	main meal	The product is primarily used or marketed as main meal/dinner food. (GPC attValue)
     48 30013637	whole muscle - slice/cutlet cut	Thin, flat muscle slice that is less than 2 cm. (3/4 in.) thick. (GPC attValue)
     47 30015688	portable meal	The product is primarily used or marketed as a portable/light lunch food. (GPC attValue)
     47 30015686	breakfast	The product is primarily used or marketed as a breakfast food. (GPC attValue)
     47 30015685	any meal	The product is not targeted or marketed for use with a specific meal. This is the default value if other values are not appropriate. (GPC attValue)
     47 30002345	stomach	 (GPC attValue)
     46 30013633	whole muscle - non poultry meat part/piece	Large, unsliced muscle cut or part separated from a carcass and typically sold to the end consumer. (GPC attValue)
     46 30013627	carcass (non-poultry)	Body of large, slaughtered animal after offal is removed that is typically sold at wholesale level. (GPC attValue)
